CarRegistration,start,end,latitude,longitude,duration
KF44LNGP,2022-07-08 13:29:25,2022-07-08 13:40:55,-26.13486769999999,28.230116728571396,690.0
KF44LNGP,2022-07-08 15:24:55,2022-07-08 15:47:55,-26.105397431654726,28.054314561151074,1380.0
KF44LNGP,2022-07-08 16:29:45,2022-07-08 16:39:05,-26.10748610526316,28.234245578947334,560.0
KF44LNGP,2022-07-08 16:42:25,2022-07-08 17:29:45,-26.12222728421045,28.2322261894736,2840.0
KF44LNGP,2022-07-08 17:31:05,2022-07-08 17:36:25,-26.121999214134153,28.231573917046656,320.0
KF44LNGP,2022-07-08 17:47:55,2022-07-08 17:53:15,-26.13453188177035,28.196339158379807,320.0
KF44LNGP,2022-07-08 17:53:55,2022-07-08 18:00:15,-26.13519926736025,28.195394426174623,380.0
KF44LNGP,2022-07-08 18:59:15,2022-07-08 20:29:55,-26.134500544954058,28.229082286238754,5440.0
KF44LNGP,2022-07-09 00:03:45,2022-07-09 00:38:05,-25.773600105637133,28.22822359929839,2060.0
KF44LNGP,2022-07-09 01:32:55,2022-07-09 10:28:45,-25.99509815526817,28.176716193206037,32150.0
KF44LNGP,2022-07-09 10:56:05,2022-07-09 11:20:05,-26.13461506318698,28.228366190572896,1440.0
KF44LNGP,2022-07-09 11:23:25,2022-07-09 12:02:55,-26.134082999999933,28.229250000000096,2370.0
KF44LNGP,2022-07-09 13:26:25,2022-07-09 13:32:55,-25.740066999999982,28.17649242500001,390.0
KF44LNGP,2022-07-09 13:47:35,2022-07-09 15:21:05,-25.77379369429386,28.2285180772976,5610.0
KF44LNGP,2022-07-09 15:21:55,2022-07-09 15:39:05,-25.77348157607404,28.228253131571428,1030.0
KF44LNGP,2022-07-09 15:42:25,2022-07-09 16:08:35,-25.76964364556952,28.234475173580925,1570.0
KF44LNGP,2022-07-09 16:12:25,2022-07-09 16:27:25,-25.773510395604376,28.228265230769217,900.0
KF44LNGP,2022-07-09 16:31:35,2022-07-09 16:39:15,-25.769403574468082,28.234386574468072,460.0
KF44LNGP,2022-07-09 16:42:35,2022-07-09 17:57:15,-25.773521683741453,28.228321688195877,4480.0
KF44LNGP,2022-07-09 18:04:55,2022-07-09 19:16:05,-25.751797996776517,28.22239257132107,4270.0
KF44LNGP,2022-07-09 19:16:45,2022-07-09 19:21:45,-25.75200554838709,28.22284993548386,300.0
KF44LNGP,2022-07-09 19:42:15,2022-07-09 20:47:35,-25.756840371819532,28.191513309752253,3920.0
KF44LNGP,2022-07-09 21:30:05,2022-07-09 21:38:25,-25.99688300000002,28.178632999999994,500.0
KF44LNGP,2022-07-10 02:04:15,2022-07-10 08:20:55,-25.995083089092176,28.176734339671192,22600.0
KF44LNGP,2022-07-10 10:02:35,2022-07-10 10:19:05,-26.513900999999972,27.948049999999977,990.0
KF44LNGP,2022-07-10 11:07:25,2022-07-10 11:14:05,-26.135250000000013,28.231082999999998,400.0
KF44LNGP,2022-07-10 11:23:55,2022-07-10 12:52:45,-26.13449940636736,28.22881420411995,5330.0
KF44LNGP,2022-07-10 12:58:15,2022-07-10 13:20:25,-26.13378300000009,28.231416999999972,1330.0
KF44LNGP,2022-07-10 13:47:15,2022-07-10 14:46:05,-26.236683220685265,28.12716803606716,3530.0
KF44LNGP,2022-07-10 15:12:05,2022-07-10 15:36:35,-26.12941045270277,28.070049344594544,1470.0
KF44LNGP,2022-07-10 15:39:15,2022-07-10 16:09:55,-26.131310701116696,28.06733186330936,1840.0
KF44LNGP,2022-07-10 17:18:15,2022-07-10 18:04:35,-25.75035261314865,28.23278417790773,2780.0
KF44LNGP,2022-07-10 18:54:45,2022-07-10 20:24:45,-26.13468180129408,28.229014763400908,5400.0
KF44LNGP,2022-07-10 20:29:15,2022-07-10 20:46:15,-26.134132000000005,28.230199999999975,1020.0
KF44LNGP,2022-07-10 21:30:55,2022-07-10 22:43:35,-25.960716160182827,28.108101068649727,4360.0
KF44LNGP,2022-07-11 09:14:35,2022-07-11 09:23:45,-25.99514713186604,28.17670171247736,550.0
KF44LNGP,2022-07-11 10:01:25,2022-07-11 10:12:15,-25.962832484848512,28.006683000000017,650.0
KF44LNGP,2022-07-11 11:13:25,2022-07-11 11:20:45,-26.13426600000002,28.231332999999974,440.0
KF44LNGP,2022-07-11 11:50:35,2022-07-11 12:25:25,-26.193546109523773,28.036247576190487,2090.0
KF44LNGP,2022-07-11 14:04:25,2022-07-11 15:22:35,-26.19361572340447,28.03619840425535,4690.0
KF44LNGP,2022-07-11 15:38:35,2022-07-11 15:48:55,-26.327181761904793,27.985848999999977,620.0
KF44LNGP,2022-07-11 16:00:25,2022-07-11 16:25:15,-26.36521894853569,28.022434240412178,1490.0
KF44LNGP,2022-07-11 17:16:15,2022-07-11 17:23:05,-26.14916185714287,28.1885462142857,410.0
KF44LNGP,2022-07-11 17:40:55,2022-07-11 17:58:25,-26.17550114150946,28.250017141509403,1050.0
KF44LNGP,2022-07-11 17:59:25,2022-07-11 18:37:55,-26.176486627155175,28.249812066810257,2310.0
KF44LNGP,2022-07-11 19:13:45,2022-07-11 19:18:55,-26.14811699999999,28.043167000000015,310.0
KF44LNGP,2022-07-11 19:48:45,2022-07-11 20:34:25,-26.07518362909097,28.060374883636317,2740.0
KF44LNGP,2022-07-11 20:44:15,2022-07-11 20:52:05,-26.04695740627513,28.037964282840008,470.0
KF44LNGP,2022-07-11 20:52:55,2022-07-11 21:03:05,-26.047252032258044,28.038199451612876,610.0
KF44LNGP,2022-07-11 21:42:45,2022-07-11 21:50:55,-26.108066939999986,28.23573679999999,490.0
KF44LNGP,2022-07-11 21:58:55,2022-07-11 22:52:35,-26.134600208978288,28.228916916408853,3220.0
KF44LNGP,2022-07-11 22:56:55,2022-07-11 23:09:25,-26.133350000000018,28.23001700000003,750.0
KF44LNGP,2022-07-11 23:44:35,2022-07-11 23:51:05,-25.815050000000014,28.203283000000027,390.0
KF44LNGP,2022-07-12 00:10:35,2022-07-12 00:20:45,-25.77348807292299,28.228251746375232,610.0
KF44LNGP,2022-07-12 01:05:15,2022-07-12 10:27:05,-25.995032972141423,28.17671543657802,33710.0
KF44LNGP,2022-07-12 10:34:15,2022-07-12 10:39:25,-25.994417,28.16841499999999,310.0
KF44LNGP,2022-07-12 11:03:35,2022-07-12 13:47:35,-25.960739946192813,28.108069136040054,9840.0
